Date,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,Month,Default_Point,asset_vol
2005/1/1,531379,423795,80696,504491,26888,GS,1,464143,0.355190678
2006/1/1,706804,575631,100007,675638,31166,GS,1,625634.5,0.353633537
2007/1/1,838201,653439,148976,802415,40545,GS,1,727927,0.349142979
2008/1/1,1119796,872257,197474,1069731,50065,GS,1,970994,0.345801699
2009/1/1,884547,632857,186227,819084,66012,GS,1,725970.5,0.351395704
2010/1/1,848942,580980,196288,777268,71674,GS,1,679124,0.346813594
2011/1/1,911332,644857,188247,833104,78228,GS,1,738980.5,0.355976934
2012/1/1,923225,669672,181724,851396,71829,GS,1,760534,0.358113008
2013/1/1,938555,686061,176270,862331,76224,GS,1,774196,0.362212811
2014/1/1,911507,664225,168489,832714,78793,GS,1,748469.5,0.364428779
2015/1/1,856240,598219,174820,773039,83201,GS,1,685629,0.363264497
2016/1/1,861395,588266,185942,774208,87187,GS,1,681237,0.360117108
2017/1/1,860165,560913,211853,772766,87399,GS,1,666839.5,0.348475803
2018/1/1,916776,590032,244501,834533,82243,GS,1,712282.5,0.337262599
2019/1/1,931796,587977,253634,841611,90185,GS,1,714794,0.337361697
2020/1/1,992968,674360,228343,902703,90265,GS,1,788531.5,0.352340296
2021/1/1,1163028,831506,235590,1067096,95932,GS,1,949301,0.359126305
2005/3/31,596149,472525,95577,568102,28047,GS,3,520313.5,0.350764655
2006/3/31,758821,611748,114651,726399,32422,GS,3,669073.5,0.349667694
2007/3/31,919806,718593,157002,875595,47426,GS,3,797094,0.351863253
2008/3/31,1189006,926638,212052,1138690,50316,GS,3,1032664,0.343754683
2009/3/31,925290,657281,203382,860663,64627,GS,3,758972,0.345708955
2010/3/31,880528,612991,193609,806600,73928,GS,3,709795.5,0.350405393
2011/3/31,933289,676885,183053,859938,73351,GS,3,768411.5,0.356684061
2012/3/31,950932,698496,179403,877899,73033,GS,3,788197.5,0.360151099
2013/3/31,959223,705584,175979,881563,77660,GS,3,793573.5,0.363927524
2014/3/31,915665,663793,172499,836292,79373,GS,3,750042.5,0.363340663
2015/3/31,865458,606471,173441,779912,85546,GS,3,693191.5,0.364599808
2016/3/31,878036,586314,204498,790812,87224,GS,3,688563,0.353561177
2017/3/31,894069,584923,221686,806609,87460,GS,3,695766,0.347024942
2018/3/31,973535,640390,248938,889328,84207,GS,3,764859,0.339856849
2019/3/31,925349,603249,230262,833511,91838,GS,3,718380,0.346822651
2020/3/31,1089756,765407,231970,997377,92379,GS,3,881392,0.357155936
2021/3/31,1301548,962412,241472,1203884,97664,GS,3,1083148,0.36075756
2005/6/30,624472,500354,95129,595483,28989,GS,6,547918.5,0.352453539
2006/6/30,798884,637679,125590,763269,35615,GS,6,700474,0.349240251
2007/6/30,943196,737484,167253,904737,47176,GS,6,821110.5,0.352228881
2008/6/30,1088145,831667,207973,1039640,48505,GS,6,935653.5,0.341266106
2009/6/30,889544,618493,207300,825793,63751,GS,6,722143,0.341676254
2010/6/30,883188,617416,190984,808400,74788,GS,6,712908,0.352929576
2011/6/30,936910,680141,183221,863362,73548,GS,6,771751.5,0.35749882
2012/6/30,948638,698222,176338,874560,74078,GS,6,786391,0.362186729
2013/6/30,938456,690355,169717,860072,78384,GS,6,775213.5,0.364616944
2014/6/30,859914,604614,173458,778072,81842,GS,6,691343,0.36213665
2015/6/30,859879,589609,181964,771573,88306,GS,6,680591,0.361725351
2016/6/30,896843,605214,204715,809929,86914,GS,6,707571.5,0.354984937
2017/6/30,906518,591256,228065,819321,87197,GS,6,705288.5,0.345212233
2018/6/30,968610,625696,254951,880647,87963,GS,6,753171.5,0.33849423
2019/6/30,944903,602715,249702,852417,92486,GS,6,727566,0.341474894
2020/6/30,1141523,791461,260033,1051494,90029,GS,6,921477.5,0.350095904
2021/6/30,1387922,1023316,262716,1286032,101890,GS,6,1154674,0.359377533
2005/9/30,669518,538228,101605,639833,29685,GS,9,589030.5,0.351040648
2006/9/30,798309,631164,129331,760495,37814,GS,9,695829.5,0.350019878
2007/9/30,1045778,817680,188980,1006660,48025,GS,9,912170,0.348895995
2008/9/30,1081773,830577,201976,1032553,49220,GS,9,931565,0.342971713
2009/9/30,882185,611569,204305,815874,66311,GS,9,713721.5,0.34360576
2010/9/30,908679,635109,197067,832176,76503,GS,9,733642.5,0.352946211
2011/9/30,948909,692326,185020,877346,71563,GS,9,784836,0.357277828
2012/9/30,949207,697960,176221,874181,75026,GS,9,786070.5,0.362378735
2013/9/30,923223,669324,175875,845199,78024,GS,9,757261.5,0.361914203
2014/9/30,868933,613908,172357,786265,82668,GS,9,700086.5,0.363585801
2015/9/30,880559,605579,186859,792438,88121,GS,9,699008.5,0.360718488
2016/9/30,879987,580927,211512,792439,87548,GS,9,686683,0.350920138
2017/9/30,930132,605717,237555,843272,86860,GS,9,724494.5,0.342888422
2018/9/30,957190,610664,258280,868944,88246,GS,9,739804,0.336224312
2019/9/30,1007320,665528,248117,913645,93675,GS,9,789586.5,0.346991661
2020/9/30,1132059,798187,241222,1039409,92650,GS,9,918798,0.355665661
2021/9/30,1443230,1067046,269887,1336933,106297,GS,9,1201989.5,0.35977088
2005/1/1,747334,623776,95286,719062,28272,MS,1,671419,0.35359289
2006/1/1,898523,758810,110465,869275,29248,MS,1,814042.5,0.350632868
2007/1/1,1121192,959058,126704,1085762,35430,MS,1,1022410,0.351976037
2008/1/1,1045409,854324,159816,1014140,31269,MS,1,934232,0.342667229
2009/1/1,658812,444544,163437,607981,50831,MS,1,526262.5,0.339534804
2010/1/1,771462,525308,193374,718682,52780,MS,1,621995,0.334516737
2011/1/1,807698,549834,192457,742291,65407,MS,1,646062.5,0.343499369
2012/1/1,749898,495586,184234,679820,70078,MS,1,587703,0.347206279
2013/1/1,780960,541652,169571,711223,69737,MS,1,626437.5,0.355553761
2014/1/1,832702,610097,153575,763672,69030,MS,1,686884.5,0.363124813
2015/1/1,801510,576634,152772,729406,72104,MS,1,653020,0.365255972
2016/1/1,787465,557513,153768,711281,76184,MS,1,634397,0.365807332
2017/1/1,814949,572056,165716,737772,77177,MS,1,654914,0.36153194
2018/1/1,851733,580685,192582,773267,78466,MS,1,676976,0.352417899
2019/1/1,853531,582463,189662,772125,81406,MS,1,677294,0.35497352
2020/1/1,895429,616090,196642,812732,82697,MS,1,714411,0.356432556
2021/1/1,1115862,791148,221565,1012713,103149,MS,1,901930.5,0.364285945
2005/3/31,802210,679980,93669,773649,28561,MS,3,726814.5,0.354602843
2006/3/31,959613,825358,104066,929424,30189,MS,3,877391,0.352668321
2007/3/31,1182061,1004789,139318,1144107,37954,MS,3,1074448,0.351398997
2008/3/31,1090896,892686,164930,1057616,33280,MS,3,975151,0.343333576
2009/3/31,626023,394708,182108,576816,49207,MS,3,485762,0.324722621
2010/3/31,819719,575337,189203,764540,55179,MS,3,669938.5,0.340448349
2011/3/31,836185,573541,196136,769677,66508,MS,3,671609,0.344355674
2012/3/31,781030,533715,176723,710438,70592,MS,3,622076.5,0.352865863
2013/3/31,801383,565744,165142,730886,70497,MS,3,648315,0.359255507
2014/3/31,831381,607739,153374,761113,70268,MS,3,684426,0.363758941
2015/3/31,829099,598088,155545,753633,75466,MS,3,675860.5,0.366124109
2016/3/31,807497,567518,162804,730322,77175,MS,3,648920,0.363324728
2017/3/31,832391,580619,172688,753307,79084,MS,3,666963,0.360467057
2018/3/31,858495,584042,194964,779006,79489,MS,3,681524,0.35187866
2019/3/31,875964,599280,194792,794072,81892,MS,3,696676,0.354468567
2020/3/31,947795,665711,194856,860567,87228,MS,3,763139,0.36231658
2021/3/31,1158772,835358,215826,1051184,107588,MS,3,943271,0.367841808
2005/6/30,818711,705387,84928,790315,28396,MS,6,747851,0.356964523
2006/6/30,1027043,881368,113354,994722,32321,MS,6,938045,0.352303871
2007/6/30,1199993,1012743,147739,1160482,39511,MS,6,1086612.5,0.350629197
2008/6/30,1031228,786011,210724,996735,34493,MS,6,891373,0.331551638
2009/6/30,676957,438702,186792,625494,51463,MS,6,532098,0.328722575
2010/6/30,809456,567487,182810,750297,59159,MS,6,658892,0.34534655
2011/6/30,830747,566498,196106,762604,68143,MS,6,664551,0.345411801
2012/6/30,748517,509052,167828,676880,71637,MS,6,592966,0.355994325
2013/6/30,802691,575479,161098,736577,66114,MS,6,656028,0.357649348
2014/6/30,826568,604884,149483,754367,72201,MS,6,679625.5,0.366221477
2015/6/30,825755,591599,158089,749688,76067,MS,6,670643.5,0.365040126
2016/6/30,828873,587006,163492,750498,78375,MS,6,668752,0.364987938
2017/6/30,841016,576937,184112,761049,79967,MS,6,668993,0.356490828
2018/6/30,875875,603125,192244,795369,80506,MS,6,699247,0.3543027
2019/6/30,891959,607037,202077,809114,82845,MS,6,708075.5,0.353484744
2020/6/30,975363,681890,205464,887354,88009,MS,6,784622,0.36009549
2021/6/30,1161805,829501,224142,1053643,108162,MS,6,941572,0.366227268
2005/9/30,837391,718976,90123,809099,28292,MS,9,764037.5,0.355092031
2006/9/30,1028872,878916,115718,994634,34238,MS,9,936775,0.353539068
2007/9/30,1185131,997651,152230,1149881,35250,MS,9,1073766,0.347401356
2008/9/30,987403,749311,202327,951638,35765,MS,9,850474.5,0.332944521
2009/9/30,769503,520842,196437,717279,52224,MS,9,619060.5,0.33305555
2010/9/30,841372,579299,196491,775790,65582,MS,9,677544.5,0.345053048
2011/9/30,794939,535752,189093,724845,70094,MS,9,630298.5,0.347814131
2012/9/30,764985,527069,168444,695513,69472,MS,9,611291,0.355434154
2013/9/30,832223,606177,157805,763982,68241,MS,9,685079.5,0.361185462
2014/9/30,814511,588143,152357,740500,74011,MS,9,664321.5,0.365839257
2015/9/30,834113,597350,160343,757693,76420,MS,9,677521.5,0.364641712
2016/9/30,813891,571502,163927,735429,78462,MS,9,653465.5,0.363689152
2017/9/30,853693,581902,191677,773579,80114,MS,9,677740.5,0.354001296
2018/9/30,865517,594554,190889,785443,80074,MS,9,689998.5,0.353875326
2019/9/30,902604,621045,198009,819054,83550,MS,9,720049.5,0.356322468
2020/9/30,955940,662678,203444,866122,89818,MS,9,764400,0.360211994
2021/9/30,1190476,853595,229762,1083357,107119,MS,9,968476,0.364568655
2005/1/1,1157248,838018,213577,1051595,105653,JPM,1,944806.5,0.364389727
2006/1/1,1198942,854050,237681,1091731,107211,JPM,1,972890.5,0.358539465
2007/1/1,1351520,981043,254687,1235730,115790,JPM,1,1108386.5,0.359994295
2008/1/1,1562147,1052407,386519,1438926,123221,JPM,1,1245666.5,0.339338255
2009/1/1,2175052,1605797,402371,2008168,166884,JPM,1,1806982.5,0.360057521
2010/1/1,2031989,1529341,337283,1866624,165365,JPM,1,1697982.5,0.367153712
2011/1/1,2117605,1558872,382627,1941499,176106,JPM,1,1750185.5,0.363470553
2012/1/1,2265792,1737559,344660,2082219,183573,JPM,1,1909889,0.373772515
2013/1/1,2359141,1816221,338851,2155072,204069,JPM,1,1985646.5,0.378736081
2014/1/1,2415689,1859011,345500,2204511,211178,JPM,1,2031761,0.378454532
2015/1/1,2573126,1982140,358921,2341061,232065,JPM,1,2161600.5,0.382189256
2016/1/1,2351698,1752490,351635,2104125,247573,JPM,1,1928307.5,0.384705289
2017/1/1,2490972,1902490,334292,2236782,254190,JPM,1,2069636,0.387862806
2018/1/1,2533600,1967746,310161,2277907,255693,JPM,1,2122826.5,0.391006193
2019/1/1,2622532,2063745,302272,2366017,256515,JPM,1,2214881,0.392133648
2020/1/1,2687379,2116710,309339,2426049,261330,JPM,1,2271379.5,0.393496601
2021/1/1,3384757,2806140,299263,3105403,279354,JPM,1,2955771.5,0.395269919
2005/3/31,1178305,855337,217628,1072965,105340,JPM,3,964151,0.363519427
2006/3/31,1273282,923022,241923,1164945,108337,JPM,3,1043983.5,0.35891095
2007/3/31,1460018,1025875,265339,1291214,117704,JPM,3,1158544.5,0.33703998
2008/3/31,1642862,1225501,291734,1517235,125627,JPM,3,1371368,0.361134896
2009/3/31,2079188,1525218,383776,1908994,170194,JPM,3,1717106,0.362001136
2010/3/31,2135796,1566182,404893,1971075,164721,JPM,3,1768628.5,0.357693622
2011/3/31,2198161,1640326,377237,2017563,180598,JPM,3,1828944.5,0.366088235
2012/3/31,2320164,1779998,350897,2130895,189269,JPM,3,1955446.5,0.374146497
2013/3/31,2389349,1828402,353861,2182263,207086,JPM,3,2005332.5,0.37779728
2014/3/31,2476986,1904080,353251,2257331,219655,JPM,3,2080705.5,0.379134772
2015/3/31,2577148,1980550,360734,2341284,235864,JPM,3,2160917,0.382076794
2016/3/31,2423808,1824521,349130,2173651,250157,JPM,3,1999086,0.385898415
2017/3/31,2546290,1939911,350516,2290427,255863,JPM,3,2115169,0.386311404
2018/3/31,2609785,2057551,296033,2353584,256201,JPM,3,2205567.5,0.392435319
2019/3/31,2737188,2160503,316848,2477351,259837,JPM,3,2318927,0.390852888
2020/3/31,3139431,2559195,318974,2878169,261262,JPM,3,2718682,0.392138466
2021/3/31,3689336,3113524,295098,3408622,280714,JPM,3,3261073,0.393463357
2005/6/30,1171283,845567,220331,1065898,105385,JPM,6,955732.5,0.362486951
2006/6/30,1328001,971478,245839,1217317,110684,JPM,6,1094397.5,0.359920893
2007/6/30,1458042,1080512,258319,1338831,119211,JPM,6,1209671.5,0.362203681
2008/6/30,1775670,1367516,274978,1642494,133176,JPM,6,1505005,0.367255826
2009/6/30,2026642,1505024,366852,1871876,154766,JPM,6,1688450,0.360332125
2010/6/30,2014019,1466006,376893,1842899,171120,JPM,6,1654452.5,0.362730338
2011/6/30,2246764,1747604,316281,2063885,182879,JPM,6,1905744.5,0.376198134
2012/6/30,2290146,1746887,351687,2098574,191572,JPM,6,1922730.5,0.374956625
2013/6/30,2439494,1879890,350365,2230255,209239,JPM,6,2055072.5,0.377587424
2014/6/30,2520336,1926266,366756,2293022,227314,JPM,6,2109644,0.378981613
2015/6/30,2449599,1852595,355799,2208394,241205,JPM,6,2030494.5,0.383077074
2016/6/30,2466096,1837543,376130,2213673,252423,JPM,6,2025608,0.383209239
2017/6/30,2563174,1949884,354807,2304691,258483,JPM,6,2127287.5,0.386187526
2018/6/30,2590050,2038155,294437,2332592,257458,JPM,6,2185373.5,0.392899644
2019/6/30,2727379,2149710,314454,2464164,263215,JPM,6,2306937,0.39239675
2020/6/30,3213115,2610818,337831,2948649,264466,JPM,6,2779733.5,0.390729159
2021/6/30,3684256,3083541,314329,3397870,286386,JPM,6,3240705.5,0.393339637
2005/9/30,1254333,873356,223542,1096898,106135,JPM,9,985127,0.335527298
2006/9/30,1338029,975351,249117,1224468,113561,JPM,9,1099909.5,0.360708847
2007/9/30,1479575,1098225,261372,1359597,119978,JPM,9,1228911,0.362435523
2008/9/30,2251469,1808747,296879,2105626,145843,JPM,9,1957186.5,0.368933149
2009/9/30,2041009,1537886,340870,1878756,162253,JPM,9,1708321,0.366264516
2010/9/30,2141595,1583096,384669,1967765,173830,JPM,9,1775430.5,0.364012455
2011/9/30,2289240,1737976,368977,2106953,182287,JPM,9,1922464.5,0.369851372
2012/9/30,2321284,1800278,321313,2121591,199693,JPM,9,1960934.5,0.380575004
2013/9/30,2463309,1913973,342666,2256639,206670,JPM,9,2085306,0.378215323
2014/9/30,2527005,1947551,348177,2295728,231277,JPM,9,2121639.5,0.382380859
2015/9/30,2417121,1802541,368852,2171393,245728,JPM,9,1986967,0.381930968
2016/9/30,2521029,1890568,376130,2266698,254331,JPM,9,2078633,0.383225079
2017/9/30,2563074,1957967,346725,2304692,258382,JPM,9,2131329.5,0.38711883
2018/9/30,2615183,2065862,290365,2356227,258956,JPM,9,2211044.5,0.393339666
2019/9/30,2764661,2185326,314987,2500313,264348,JPM,9,2342819.5,0.392878853
2020/9/30,3246076,2676597,298366,2974963,271113,JPM,9,2825780,0.394992784
2021/9/30,3757576,3155813,311722,3467535,290041,JPM,9,3311674,0.393301938
2005/1/1,1484101,1050730,324080,1374810,109291,Citi,1,1212770,0.346365731
2006/1/1,1494037,1132427,249073,1381500,112537,Citi,1,1256963.5,0.362996031
2007/1/1,1884318,1431634,332901,1764535,119783,Citi,1,1598084.5,0.354077782
2008/1/1,2211008,1644663,429370,2074033,113447,Citi,1,1859348,0.338204101
2009/1/1,1938470,1433035,363805,1796840,141630,Citi,1,1614937.5,0.357610255
2010/1/1,1856646,1304583,397090,1701673,154973,Citi,1,1503128,0.35234116
2011/1/1,1913902,1365592,382521,1748113,165789,Citi,1,1556852.5,0.358517594
2012/1/1,1873878,1385435,308870,1694305,179573,Citi,1,1539870,0.375985436
2013/1/1,1864660,1409036,264627,1673663,190997,Citi,1,1541349.5,0.386098756
2014/1/1,1880382,1436622,237627,1674249,206133,Citi,1,1555435.5,0.39333326
2015/1/1,1842181,1322321,308164,1630485,211696,Citi,1,1476403,0.382352706
2016/1/1,1731210,1299596,208522,1508118,223092,Citi,1,1403857,0.403569587
2017/1/1,1792077,1353625,212309,1565934,226143,Citi,1,1459779.5,0.402543214
2018/1/1,1842465,1386940,253853,1640793,201672,Citi,1,1513866.5,0.389237277
2019/1/1,1917383,1432160,288149,1720309,197074,Citi,1,1576234.5,0.382485636
2020/1/1,1951158,1451274,305938,1757212,193946,Citi,1,1604243,0.380523706
2021/1/1,2260090,1729012,330878,2059890,200200,Citi,1,1894451,0.380009427
2005/3/31,1489891,1073933,357579,1431512,110536,Citi,3,1252722.5,0.361879034
2006/3/31,1586201,1249228,290854,1540082,114418,Citi,3,1394655,0.38167172
2007/3/31,2020966,1580185,392889,1973074,122083,Citi,3,1776629.5,0.368772839
2008/3/31,2199848,1544151,527478,2071629,128219,Citi,3,1807890,0.333816339
2009/3/31,1822578,1253664,422987,1676651,145927,Citi,3,1465157.5,0.345612105
2010/3/31,2002213,1330308,518126,1848434,153779,Citi,3,1589371,0.334666634
2011/3/31,1947815,1329050,445372,1774422,173393,Citi,3,1551736,0.349684852
2012/3/31,1944423,1380553,380147,1760700,183723,Citi,3,1570626.5,0.364908926
2013/3/31,1881734,1430233,256162,1686395,195339,Citi,3,1558314,0.389050127
2014/3/31,1894736,1436189,248305,1684494,210242,Citi,3,1560341.5,0.392226309
2015/3/31,1831801,1332813,282965,1615778,216023,Citi,3,1474295.5,0.387382898
2016/3/31,1800967,1340795,231411,1572206,228761,Citi,3,1456500.5,0.400151594
2017/3/31,1821635,1346972,245510,1592482,229153,Citi,3,1469727,0.396785825
2018/3/31,1922104,1459518,259720,1719238,202866,Citi,3,1589378,0.388272685
2019/3/31,1958413,1459801,301597,1761398,197015,Citi,3,1610599.5,0.380550653
2020/3/31,2219770,1700549,326239,2026788,192982,Citi,3,1863668.5,0.379656702
2021/3/31,2314266,1792254,318739,2110993,203273,Citi,3,1951623.5,0.381707933
2005/6/30,1547789,1133657,359013,1492670,113037,Citi,6,1313163.5,0.365212107
2006/6/30,1626551,1267595,310290,1577885,115428,Citi,6,1422740,0.377764884
2007/6/30,2220866,1647563,445549,2093112,127754,Citi,6,1870337.5,0.34414635
2008/6/30,2100385,1450094,513886,1963980,136405,Citi,6,1707037,0.334660448
2009/6/30,1848533,1250654,443711,1694365,154168,Citi,6,1472509.5,0.343585161
2010/6/30,1937656,1288590,491736,1780326,157330,Citi,6,1534458,0.338896456
2011/6/30,1956626,1352594,425387,1777981,178645,Citi,6,1565287.5,0.355046519
2012/6/30,1916451,1375808,354804,1730612,185839,Citi,6,1553210,0.369994313
2013/6/30,1883988,1452913,233249,1686162,197826,Citi,6,1569537.5,0.392418905
2014/6/30,1909715,1421664,274952,1696616,213099,Citi,6,1559140,0.388097559
2015/6/30,1829370,1313618,294927,1608545,220825,Citi,6,1461081.5,0.385665748
2016/6/30,1818771,1336322,249428,1585750,233021,Citi,6,1461036,0.397933698
2017/6/30,1864063,1365634,267322,1632956,231107,Citi,6,1499295,0.393034698
2018/6/30,1912334,1442608,268758,1711366,200968,Citi,6,1576987,0.38624635
2019/6/30,1988226,1475751,314365,1790116,198110,Citi,6,1632933.5,0.379463712
2020/6/30,2232715,1699369,341044,2040413,192302,Citi,6,1869891,0.377596427
2021/6/30,2327868,1797682,327276,2124958,202910,Citi,6,1961320,0.381024912
2005/9/30,1472793,1145587,279747,1425334,111837,Citi,9,1285460.5,0.382832271
2006/9/30,1746248,1362885,332404,1695289,117865,Citi,9,1529087,0.374882289
2007/9/30,2358266,1871891,473177,2345068,127113,Citi,9,2108479.5,0.369708348
2008/9/30,2050131,1422436,501633,1924069,126062,Citi,9,1673252.5,0.333275176
2009/9/30,1888599,1263705,481945,1745650,142949,Citi,9,1504677.5,0.33587971
2010/9/30,1983280,1322695,495402,1818097,165183,Citi,9,1570396,0.34138515
2011/9/30,1935992,1345655,410995,1756650,179342,Citi,9,1551152.5,0.358202933
2012/9/30,1931346,1403544,339064,1742608,188738,Citi,9,1573076,0.373241777
2013/9/30,1899511,1419591,277181,1696772,202739,Citi,9,1558181.5,0.385613775
2014/9/30,1882849,1395225,273733,1668958,213891,Citi,9,1532091.5,0.388655026
2015/9/30,1808356,1287064,299155,1586219,222137,Citi,9,1436641.5,0.384875245
2016/9/30,1818117,1329973,255454,1585427,232690,Citi,9,1457700,0.3961036
2017/9/30,1889133,1374794,285717,1660511,228622,Citi,9,1517652.5,0.389097321
2018/9/30,1925165,1435859,291443,1727302,197863,Citi,9,1581580.5,0.381378776
2019/9/30,2014802,1517225,300507,1817732,197070,Citi,9,1667478.5,0.382195308
2020/9/30,2234459,1708607,331257,2039864,194595,Citi,9,1874235.5,0.379015908
2021/9/30,2361876,1826182,334084,2160266,201610,Citi,9,1993224,0.379477321
2005/1/1,1110432,1025288,87605,1112893,100235,BAC,1,1069090.5,0.455590084
2006/1/1,1291803,1031708,89660,1121368,101533,BAC,1,1076538,0.361489669
2007/1/1,1459737,1195659,128806,1324465,135272,BAC,1,1260062,0.395464404
2008/1/1,1715746,1401870,167073,1568943,146803,BAC,1,1485406.5,0.390696572
2009/1/1,1817943,1415481,225410,1640891,177052,BAC,1,1528186,0.38876892
2010/1/1,2230232,1659411,339377,1998788,231444,BAC,1,1829099.5,0.380876554
2011/1/1,2264909,1677481,359180,2036661,228248,BAC,1,1857071,0.377848033
2012/1/1,2129046,1624095,274850,1898945,230101,BAC,1,1761520,0.392978729
2013/1/1,2209974,1697433,275585,1973018,236956,BAC,1,1835225.5,0.39388231
2014/1/1,2102273,1665990,203598,1869588,232685,BAC,1,1767789,0.403865889
2015/1/1,2104534,1648648,212415,1861063,243471,BAC,1,1754855.5,0.405971714
2016/1/1,2144287,1651347,236764,1888111,256176,BAC,1,1769729,0.403740596
2017/1/1,2188067,1705049,216823,1921872,266195,BAC,1,1813460.5,0.407768132
2018/1/1,2281234,1786686,227402,2014088,267146,BAC,1,1900387,0.405426211
2019/1/1,2354507,1859842,229340,2089182,265325,BAC,1,1974512,0.404529981
2020/1/1,2434079,1920279,248990,2169269,264810,BAC,1,2044774,0.402840747
2021/1/1,2819627,2275222,271481,2546703,272924,BAC,1,2410962.5,0.400034866
2005/3/31,1212239,1014957,98763,1113720,98519,BAC,3,1064338.5,0.392524118
2006/3/31,1375080,1122476,123178,1245654,129426,BAC,3,1184065,0.395396489
2007/3/31,1502157,1244999,152562,1397561,134856,BAC,3,1321280,0.402727197
2008/3/31,1736502,1385436,202800,1588236,156309,BAC,3,1486836,0.389523408
2009/3/31,2321963,1641663,440751,2082414,239549,BAC,3,1862038.5,0.368276268
2010/3/31,2338700,1695220,413657,2108877,229823,BAC,3,1902048.5,0.370260247
2011/3/31,2274532,1674866,368790,2043656,230876,BAC,3,1859261,0.377024665
2012/3/31,2181449,1668882,280068,1948950,232499,BAC,3,1808916,0.392451286
2013/3/31,2174819,1657885,279641,1937526,237293,BAC,3,1797705.5,0.393749546
2014/3/31,2149851,1663178,254785,1917963,231888,BAC,3,1790570.5,0.395302338
2015/3/31,2143545,1655499,237858,1893357,250188,BAC,3,1774428,0.402311613
2016/3/31,2185498,1689873,232849,1922722,262776,BAC,3,1806297.5,0.405529175
2017/3/31,2247701,1758163,221385,1979548,268153,BAC,3,1868855.5,0.407321623
2018/3/31,2328478,1829998,232256,2062254,266224,BAC,3,1946126,0.403926917
2019/3/31,2377164,1867779,242375,2110154,267010,BAC,3,1988966.5,0.403003528
2020/3/31,2619954,2098324,256712,2355036,264918,BAC,3,2226680,0.402087542
2021/3/31,2969992,2444781,251211,2695992,274000,BAC,3,2570386.5,0.400795889
2005/6/30,1246330,1022343,96894,1119237,100540,BAC,6,1070790,0.380217805
2006/6/30,1445193,1188296,129056,1317352,127841,BAC,6,1252824,0.392800721
2007/6/30,1534359,1229291,169317,1398608,135751,BAC,6,1313949.5,0.386532586
2008/6/30,1716875,1347579,206605,1554184,162691,BAC,6,1450881.5,0.387274056
2009/6/30,2254394,1552055,447187,1999242,255152,BAC,6,1775648.5,0.367952674
2010/6/30,2363878,1712277,418427,2130704,233174,BAC,6,1921490.5,0.371408899
2011/6/30,2261319,1655626,383517,2039143,222176,BAC,6,1847384.5,0.373943337
2012/6/30,2160854,1652151,272728,1924879,235975,BAC,6,1788515,0.39488546
2013/6/30,2123320,1629808,262480,1892288,231032,BAC,6,1761048,0.39402552
